"Category","Annual Mean","5-yr smooth"
1901,1273.85,1274.52
1902,1273.85,1274.01
1903,1273.85,1273.57
1904,1273.85,1273.24
1905,1273.85,1273.1
1906,1273.85,1273.21
1907,1273.85,1273.62
1908,1273.85,1274.2
1909,1273.85,1274.79
1910,1273.85,1275.18
1911,1273.85,1275.19
1912,1273.85,1274.64
1913,1273.85,1273.6
1914,1273.85,1272.45
1915,1273.85,1271.54
1916,1273.85,1271.24
1917,1273.85,1271.94
1918,1273.85,1273.68
1919,1273.85,1275.85
1920,1273.85,1277.77
1921,1273.85,1278.74
1922,1273.85,1278.08
1923,1273.85,1275.37
1924,1273.85,1271.52
1925,1273.85,1267.83
1926,1273.85,1265.58
1927,1273.85,1266.05
1928,1273.85,1270.29
1929,1273.85,1276.84
1930,1374.01,1282.75
1931,1047.9,1285.07
1932,1365.79,1280.8
1933,1244.23,1267.12
1934,1326.95,1244.74
1935,1419.28,1218.61
1936,1117.64,1193.86
1937,980.08,1175.84
1938,948.46,1169.65
1939,1326.25,1177.58
1940,1200.53,1195.03
1941,1579.23,1216.22
1942,1181.52,1235.49
1943,1202.84,1247.17
1944,1057.57,1246.76
1945,1173.75,1236.15
1946,1458.58,1219.24
1947,978.79,1199.95
1948,1147.01,1182.15
1949,1244.7,1169.67
1950,1135.11,1164.16
1951,1183.29,1165.9
1952,1287.3,1175.2
1953,1345.91,1192.29
1954,1328.92,1217.4
1955,1008.42,1248.51
1956,1080.09,1280.72
1957,1257.51,1308.65
1958,1308.24,1327.2
1959,1577.45,1331.19
1960,1109.59,1318.44
1961,1512.86,1295.34
1962,1363.63,1269.56
1963,1232.33,1248.81
1964,1116.4,1240.8
1965,1299.66,1251.57
1966,1099.29,1277.02
1967,1523.98,1309.34
1968,1261.49,1340.83
1969,1074.49,1363.5
1970,1731.08,1370.15
1971,1189.52,1360.3
1972,1417.75,1338.57
1973,1486.54,1309.93
1974,1158.78,1279.15
1975,1199.03,1251
1976,1181.1,1227.89
1977,1361.53,1208.89
1978,1040.85,1192.64
1979,1190.74,1177.81
1980,984.66,1163.05
1981,1422.43,1147.81
1982,1183.15,1133.54
1983,906.93,1122.14
1984,1325.3,1115.48
1985,1003.41,1115.5
1986,1259.81,1123.54
1987,1017.37,1137.35
1988,1026.53,1153.23
1989,1146.75,1167.32
1990,1433.62,1175.92
1991,1100.32,1175.59
1992,948.85,1168.34
1993,1367.52,1160.9
1994,1313.18,1160.04
1995,994.91,1172.58
1996,1191.73,1205.35
1997,1115.3,1257.31
1998,1395.72,1315.02
1999,1171.26,1363.81
2000,1696.23,1388.98
2001,1683.77,1375.69
2002,1411.94,1315.84
2003,880.86,1224.08
2004,901.02,1119.72
2005,785.66,1023.02
2006,998.07,953.31
2007,915.2,927.65
2008,939.58,943.19
2009,1661.99,987.44
2010,823.77,1047.97
2011,1572.09,1112.36
2012,940.18,1168.61
2013,880.92,1210.34
2014,1107.01,1237.41
2015,766.02,1249.7
2016,1630.55,1247.1
2017,1273.85,1229.54
2018,1273.85,1197.88
2019,1262.93,1154.8
2020,1273.85,1102.98
2021,1046.47,1045.59
2022,782.31,985.34
